Generation,Max Fitness,Avg Fitness,Best Individual
38,0.44,0.4306666666666666,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
39,0.44,0.4306666666666666,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
40,0.44,0.4306666666666666,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
41,0.44,0.43133333333333324,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
42,0.44,0.432,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
43,0.44,0.43266666666666664,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
44,0.44,0.4333333333333333,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
45,0.44,0.43399999999999994,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
46,0.44,0.43533333333333324,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
47,0.44,0.4359999999999999,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
48,0.44,0.4359999999999999,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
49,0.44,0.4366666666666666,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
50,0.44,0.4366666666666666,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
51,0.44,0.4366666666666666,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
52,0.44,0.4373333333333333,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
53,0.44,0.4386666666666667,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
54,0.44,0.44000000000000017,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
