Generation,Max Fitness,Avg Fitness,Best Individual
66,0.38,0.37733333333333335,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
67,0.38,0.37866666666666665,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
68,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
69,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
70,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
71,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
72,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
73,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
74,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
75,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
76,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
77,0.38,0.37999999999999995,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
78,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
79,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
80,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
81,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
82,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
83,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
84,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
85,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
86,0.4,0.38133333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
87,0.4,0.3826666666666666,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
88,0.4,0.38399999999999995,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
89,0.4,0.3853333333333333,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
90,0.4,0.3853333333333333,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
91,0.4,0.3866666666666666,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
92,0.4,0.3866666666666666,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
93,0.4,0.38799999999999996,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
94,0.4,0.38799999999999996,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
95,0.4,0.38933333333333325,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
96,0.4,0.39199999999999996,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
97,0.4,0.39199999999999996,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
98,0.4,0.3933333333333333,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
99,0.4,0.3946666666666666,"[0.000330955396525753, 0.00020599707590818173, 0.0005670451421489229, 0.5619895222526008, 0.2707049065323697, 0.07415490247257622, 0.0003527242715125406, 0.09009685847572838, 2.7440635338480822e-05, 0.0015696477452909648]"
